"","Nazwa_Oferty","ID_Oferta","Marka","Model","Cena_Brutto","Rodzaj_Napedu","Typ_Skrzynia","Pojemnosc_Silnika","Typ_Paliwa","Zuzycie_Paliwa_na_100km","Emisja_CO2","Klasa_Emisji","Przebieg_Km","Pierwsza_Rejestracja","Poprzedni_wlasciciel","Kraj","Typ_Sprzedawcy","Moc_Silnika","Liczba_Zdjec","Wyposazenie","Liczba_elementow_wyposazenia"
"2785","Skoda Octavia 2.0 TDI Green Tec Style 110 kW","48287357","Skoda","Octavia",157799,"4x2","Automat","1968","Diesel","3.9","102","Euro 6d-TEMP","16990","4/2021","U¿ywany","Niemcy","Dealer","110",6,"ABS,ESP,Funkcja Auto Hold,Asystent hamowania (EBA, BAS),System start-stop,Wspomaganie kierownicy,Immobiliser,Telefon alarmowy,Czujnik ciœnienia w oponach,Kamera parkowania,Czujniki parkowania przód/ty³,Bluetooth,Radio,Kontrola g³osowa,Nawigacja,Komputer pok³adowy,Felgi aluminiowe,Czujnik zmierzchu,Œwiat³a do jazdy dziennej,Zamek centralny,Zamek centralny na pilota,Czujnik wycieraczek,Pod³okietnik z przodu,Skórzana kierownica,Kierownica wielofunkcyjna,ISOFIX na tylnych siedzeniach,Sk³adane siedzenia tylne,Klimatyzacja automatyczna",29
"2786","Mercedes-Benz A 200 120 kW","48300825","Mercedes-Benz","A 200",152649,"4x2","Automat","1332","Benzyna","5.3","123","Euro 6d-TEMP","33936","12/2018","2","Niemcy","Dealer","120",7,"ABS,ESP,Funkcja Auto Hold,Asystent hamowania (EBA, BAS),System start-stop,Wspomaganie kierownicy,Immobiliser,Asystent pasa jazdy,Telefon alarmowy,Czujnik ciœnienia w oponach,Kamera parkowania,Czujniki parkowania przód/ty³,Bluetooth,USB,Ekran dotykowy,Komputer pok³adowy,Radio samochodowe,Felgi aluminiowe,Automatyczne œwiat³a drogowe,Reflektory adaptacyjne,Czujnik zmierzchu,Œwiat³a do jazdy dziennej,Zamek centralny,Czujnik wycieraczek,Reflektory biksenonowe,Tempomat,Skórzana kierownica,Kierownica wielofunkcyjna,ISOFIX na tylnych siedzeniach,Klimatyzacja automatyczna",31
"2787","Cadillac XT5 3.6 V6 AWD Luxury 231 kW","48277394","Cadillac","XT5",157999,"4x4","Automat","3649","Benzyna","10","229","Euro 6","48800","1/2018","1","Niemcy","Dealer","231",30,"ABS,ESP,System start-stop,Czujnik martwego pola,Wspomaganie kierownicy,Czujnik ciœnienia w oponach,Kamera parkowania,Czujniki parkowania przód/ty³,Bluetooth,USB,Nawigacja,Ekran dotykowy,Komputer pok³adowy,Felgi aluminiowe,Œwiat³a do jazdy dziennej,Zamek centralny,Czujnik wycieraczek,System doœwietlania zakrêtów,Pod³okietnik z przodu,Skórzana kierownica,Kierownica wielofunkcyjna,ISOFIX na tylnych siedzeniach,Tempomat",23
"2788","Volkswagen Golf 110 kW","48297939","Volkswagen","Golf",152749,"4x2","Automat","1500","Pozosta³e paliwa","5","116","Brak klasy emisji","12000","6/2021","U¿ywany","Hiszpania","Dealer","110",13,"ABS,ESP",2
"2789","Alfa Romeo Stelvio 2.0 Turbo 16V Super 206 kW","48315612","Alfa Romeo","Stelvio",158049,"4x4","Automat","1995","Benzyna","7","161","Brak klasy emisji","68278","11/2017","1","Niemcy","Dealer","206",14,"ABS,ESP,Funkcja Auto Hold,Asystent hamowania (EBA, BAS),System start-stop,Czujnik martwego pola,Wspomaganie kierownicy,Immobiliser,Asystent pasa jazdy,Czujnik ciœnienia w oponach,Kamera parkowania,Czujniki parkowania przód/ty³,Radio,USB,Komputer pok³adowy,Radio samochodowe,Felgi aluminiowe,Œwiat³a do jazdy dziennej,Zamek centralny,Pod³okietnik z przodu,Skórzana kierownica,Kierownica wielofunkcyjna,ISOFIX na tylnych siedzeniach,Tempomat",25
"2790","Ford Transit Custom 340 L2H1 LKW VA Trend 96 kW","48312163","Ford","Transit Custom",153149,"4x2","Manual","1995","Diesel","5","169","Euro 6","30457","8/2019","U¿ywany","Francja","Dealer","96",10,"ABS,ESP,Czujniki parkowania,Wyjœcie AUX,Sk³adane siedzenia tylne,Klimatyzowana skrytka,Dzielone siedzenia tylne ,Regulowana kierownica,Klimatyzacja,Zamek centralny,Przyciemniane szyby,Tempomat",12
"2791","Volvo V90 Cross Country D4 AWD 140 kW","48288034","Volvo","V90 Cross Country",158449,"4x4","Automat","1969","Diesel","5.2","138","Euro 6","84000","2/2017","1","Niemcy","Dealer","140",14,"ABS,ESP,Funkcja Auto Hold,Asystent hamowania (EBA, BAS),System start-stop,Czujnik martwego pola,Wspomaganie kierownicy,Immobiliser,Asystent pasa jazdy,Czujnik ciœnienia w oponach,Czujniki parkowania przód/ty³,Komputer pok³adowy,Odtwarzacz CD,Radio samochodowe,Felgi aluminiowe,Czujnik zmierzchu,Œwiat³a do jazdy dziennej,Podgrzewana przednia szyba,Zamek centralny,Czujnik wycieraczek,Sta³y hak holowniczy,Pod³okietnik z ty³u,Pod³okietnik z przodu,Skórzana kierownica,Kierownica wielofunkcyjna,ISOFIX na tylnych siedzeniach,Tempomat",28
"2792","Jeep Compass 103 kW","48263109","Jeep","Compass",153199,"4x2","Manual","1368","Benzyna","6.8","176","Euro 6","1586","9/2020","U¿ywany","Francja","Dealer","103",21,"ABS,ESP,Alarm,Funkcja Auto Hold,Asystent hamowania (EBA, BAS),System start-stop,Czujnik martwego pola,Asystent pasa jazdy,Czujnik ciœnienia w oponach,Czujniki parkowania,Wyjœcie AUX,USB,Ekran dotykowy,Komputer pok³adowy,Odtwarzacz CD,Oœwietlenie ambientowe,Pod³okietnik z ty³u,Pod³okietnik z przodu,Skórzana kierownica,Kierownica wielofunkcyjna,Sk³adane siedzenia tylne,Klimatyzowana skrytka,Dzielone siedzenia tylne ,Regulowana kierownica,Felgi aluminiowe,Œwiat³a do jazdy dziennej,Œwiat³a automatyczne,Podgrzewane lusterka,Zamek centralny,Przyciemniane szyby",31
"2793","BMW 118 100 kW","48275513","BMW","118",153199,"4x2","Automat","1499","Benzyna","5","134","Euro 6","7830","6/2021","U¿ywany","Francja","Dealer","100",21,"Telefon alarmowy,Czujnik ciœnienia w oponach,Tempomat",3
"2794","Mercedes-Benz Vito 114 CDI long 100 kW","48283024","Mercedes-Benz","Vito",159149,"4x2","Manual","1749","Diesel","6.7","177","Euro 6d-TEMP","25264","10/2020","1","Niemcy","Dealer","100",18,"ABS,ESP,System start-stop,Immobiliser,Telefon alarmowy,Radio,Radio samochodowe,Atermiczna szyba przednia,Zamek centralny,Tempomat",10
