"","Nazwa_Oferty","ID_Oferta","Marka","Model","Cena_Brutto","Rodzaj_Napedu","Typ_Skrzynia","Pojemnosc_Silnika","Typ_Paliwa","Zuzycie_Paliwa_na_100km","Emisja_CO2","Klasa_Emisji","Przebieg_Km","Pierwsza_Rejestracja","Poprzedni_wlasciciel","Kraj","Typ_Sprzedawcy","Moc_Silnika","Liczba_Zdjec","Wyposazenie","Liczba_elementow_wyposazenia"
"1","Cadillac ATS AWD AT8 203 kW","48276303","Cadillac","ATS",133649,"4x4","Automat","1998","Benzyna","8.6","203","Euro 6","29800","12/2018","2","Niemcy","Komis","203",15,"ABS,ESP,Alarm,Asystent hamowania (EBA, BAS),System start-stop,Czujnik martwego pola,Wspomaganie kierownicy,Asystent pasa jazdy,Czujnik ciœnienia w oponach,Kamera parkowania,Czujniki parkowania przód/ty³,USB,Ekran dotykowy,Komputer pok³adowy,Radio samochodowe,Pod³okietnik z przodu,Skórzana kierownica,Kierownica wielofunkcyjna,Tempomat,Felgi aluminiowe,Reflektory adaptacyjne,Czujnik zmierzchu,Œwiat³a do jazdy dziennej,Zamek centralny,Czujnik wycieraczek,Reflektory ksenonowe",27
"2","Seat Leon SC 2.0 TSI Cupra 290 213 kW","48311169","Seat","Leon",148649,"4x2","Automat","1984","Benzyna","6.6","154","Euro 6d-TEMP","23650","5/2020","1","Niemcy","Dealer","213",6,"ABS,ESP,System ochrony pieszych,Funkcja Auto Hold,Asystent hamowania (EBA, BAS),System start-stop,Wspomaganie kierownicy,Immobiliser,Asystent pasa jazdy,Czujnik ciœnienia w oponach,Kamera parkowania,Radio,USB,Komputer pok³adowy,Radio samochodowe,Felgi aluminiowe,Automatyczne œwiat³a drogowe,Czujnik zmierzchu,Œwiat³a do jazdy dziennej,Tylna wycieraczka,Zamek centralny,Czujnik wycieraczek,Oœwietlenie ambientowe,Pod³okietnik z przodu,Skórzana kierownica,Kierownica wielofunkcyjna,ISOFIX na tylnych siedzeniach",28
"3","Kia cee'd / Ceed 1.6 SW Vision 100 kW","48265304","Kia","cee'd / Ceed",108899,"4x2","Manual","1598","Diesel","3.8","99","Euro 6","13067","12/2020","1","Niemcy","Dealer","100",19,"ABS,ESP,Funkcja Auto Hold,Wspomaganie kierownicy,Immobiliser,Asystent pasa jazdy,Czujnik ciœnienia w oponach,Kamera parkowania,Radio,Wyjœcie AUX,USB,Komputer pok³adowy,Radio samochodowe,Pod³okietnik z ty³u,Pod³okietnik z przodu,Skórzana kierownica,Kierownica wielofunkcyjna,ISOFIX na tylnych siedzeniach,Felgi aluminiowe,Czujnik zmierzchu,Œwiat³a do jazdy dziennej,Zamek centralny,System doœwietlania zakrêtów,Tempomat",24
"4","Seat Leon ST 2.0 TSI 4Drive DSG OPF Cupra 221 kW","48308178","Seat","Leon",187849,"4x4","Automat","1984","Benzyna","7.1","161","Euro 6d-TEMP","25880","11/2019","1","Niemcy","Dealer","221",6,"ABS,ESP,Asystent hamowania (EBA, BAS),System start-stop,Wspomaganie kierownicy,Immobiliser,Asystent pasa jazdy,Czujnik ciœnienia w oponach,Kamera parkowania,Czujniki parkowania przód/ty³,Bluetooth,Radio,Wyjœcie AUX,USB,Nawigacja,Ekran dotykowy,Komputer pok³adowy,Radio samochodowe,Felgi aluminiowe,Automatyczne œwiat³a drogowe,Czujnik zmierzchu,Œwiat³a do jazdy dziennej,Zamek centralny,Czujnik wycieraczek,Pod³okietnik z przodu,Skórzana kierownica,Kierownica wielofunkcyjna,ISOFIX na tylnych siedzeniach,Sk³adane siedzenia tylne,Sportowe przednie siedzenia,Klimatyzacja automatyczna",32
"5","Kia Sportage 1.6 2WD MH 100 kW","48302338","Kia","Sportage",126999,"4x2","Manual","1598","Diesel","4.5","146","Euro 6","10950","5/2021","U¿ywany","Francja","Dealer","100",24,"ABS,ESP,Asystent hamowania (EBA, BAS),System start-stop,Czujniki parkowania,Radio,USB,Ekran dotykowy,Komputer pok³adowy,Felgi aluminiowe,Zamek centralny,Przyciemniane szyby,Pod³okietnik z ty³u,Pod³okietnik z przodu,Sk³adane siedzenia tylne,Regulowana kierownica,Tempomat",18
"6","Citroen C4 96 kW","48284610","Citroen","C4",151149,"4x2","Automat","1199","Benzyna","5.9","134","Euro 6","1300","1/2022","1","Niemcy","Dealer","96",17,"ABS,ESP,Funkcja Auto Hold,Asystent hamowania (EBA, BAS),System start-stop,Czujnik martwego pola,Immobiliser,Asystent pasa jazdy,Czujnik ciœnienia w oponach,Kamera parkowania 360°,Czujniki parkowania przód/ty³,Bluetooth,Radio,USB,Ekran dotykowy,Komputer pok³adowy,Podgrzewana kierownica,Pod³okietnik z przodu,Skórzana kierownica,Kierownica wielofunkcyjna,ISOFIX na tylnych siedzeniach,£opatki przy kierownicy,Tempomat,Felgi aluminiowe,Automatyczne œwiat³a drogowe,Œwiat³a do jazdy dziennej,Podgrzewana przednia szyba,Zamek centralny,Czujnik wycieraczek",30
"7","Kia Sportage 1.6 2WD MH 100 kW","48289414","Kia","Sportage",124199,"4x2","Manual","1600","Diesel","6","118","Brak klasy emisji","6645","5/2021","U¿ywany","Hiszpania","Dealer","100",15,"ABS,ESP",2
"8","Cupra Formentor 2.0 TSI DSG 4Drive VZ 228 kW","48307741","Cupra","Formentor",197899,"4x4","Automat","1984","Benzyna","7.7","192","Euro 6d","10915","3/2021","1","Niemcy","Dealer","228",19,"ABS,ESP,Alarm,Asystent hamowania (EBA, BAS),System start-stop,Czujnik martwego pola,Wspomaganie kierownicy,Immobiliser,Asystent pasa jazdy,Czujnik ciœnienia w oponach,Kamera parkowania,Czujniki parkowania przód/ty³,Bluetooth,Radio,USB,Radio samochodowe,Oœwietlenie ambientowe,Pod³okietnik z przodu,Kierownica wielofunkcyjna,Sportowe przednie siedzenia,Felgi aluminiowe,Automatyczne œwiat³a drogowe,Czujnik zmierzchu,Zamek centralny,Czujnik wycieraczek",26
"9","Jeep Renegade 96 kW","48308731","Jeep","Renegade",134149,"4x2","Manual","1598","Diesel","5","138","Brak klasy emisji","8630","2/2021","Samochód demonstracyjny","Austria","Dealer","96",19,"ABS,Tempomat",2
"10","Mercedes-Benz E 400 d 4Matic T All-Terrain 9G-TRONIC 250 kW","48316851","Mercedes-Benz","E 400",197649,"4x4","Automat","2925","Diesel","5.8","154","Euro 6d-TEMP","98163","10/2018","1","Niemcy","Dealer","250",15,"ABS,ESP,Asystent stabilnoœci (TSA),Funkcja Auto Hold,Asystent hamowania (EBA, BAS),System start-stop,Czujnik martwego pola,Zap³on bezkluczykowy,Wspomaganie kierownicy,Immobiliser,Asystent pasa jazdy,Telefon alarmowy,Czujnik ciœnienia w oponach,Kamera parkowania 360°,Czujniki parkowania przód/ty³,Bluetooth,Zintegrowany streaming muzyki,USB,Kontrola g³osowa,Wifi hotspot,Apple CarPlay,Android auto,Nawigacja,Ekran dotykowy,Komputer pok³adowy,Radio samochodowe,Oœwietlenie ambientowe,Pod³okietnik z przodu,Skórzana kierownica,Kierownica wielofunkcyjna,ISOFIX na tylnych siedzeniach,Ogrzewanie postojowe,£opatki przy kierownicy,Felgi aluminiowe,Automatyczne œwiat³a drogowe,Czujnik zmierzchu,Œwiat³a do jazdy dziennej,Zamek centralny,Czujnik wycieraczek,Przyciemniane szyby,Sprzêg przyczepy",42
"11","Audi A4 Avant 50 TDI Quattro 210 kW","48296366","Audi","A4",190449,"4x4","Automat","2967","Diesel","6","196","Euro 6","112879","7/2019","1","Niemcy","Komis","210",30,"ABS,ESP,Funkcja Auto Hold,Asystent hamowania (EBA, BAS),System start-stop,Czujnik martwego pola,Wspomaganie kierownicy,Immobiliser,Asystent pasa jazdy,Telefon alarmowy,Czujnik ciœnienia w oponach,Kamera parkowania,Czujniki parkowania przód/ty³,Bluetooth,USB,Ekran dotykowy,Komputer pok³adowy,Odtwarzacz CD,Felgi aluminiowe,Automatyczne œwiat³a drogowe,Reflektory adaptacyjne,Czujnik zmierzchu,Œwiat³a do jazdy dziennej,Zamek centralny,Czujnik wycieraczek,Sprzêg przyczepy,Oœwietlenie ambientowe,Pod³okietnik z przodu,Skórzana kierownica,Kierownica wielofunkcyjna,ISOFIX na tylnych siedzeniach,Sk³adane siedzenia tylne,Sportowe przednie siedzenia,£opatki przy kierownicy",35
"12","Kia Sportage 2.0 CRDi AWD GT Line 136 kW","48293916","Kia","Sportage",110349,"4x4","Automat","1995","Diesel","6.3","166","Euro 6","63986","2/2017","2","Niemcy","Dealer","136",23,"ABS,ESP,Alarm,Funkcja Auto Hold,Asystent hamowania (EBA, BAS),System start-stop,Czujnik martwego pola,Wspomaganie kierownicy,Immobiliser,Asystent pasa jazdy,Kamera parkowania,Czujniki parkowania przód/ty³,Bluetooth,Radio,Wyjœcie AUX,Nawigacja,Komputer pok³adowy,Radio samochodowe,Felgi aluminiowe,Czujnik zmierzchu,Œwiat³a do jazdy dziennej,Tylna wycieraczka,Zamek centralny,Czujnik wycieraczek,Podgrzewana kierownica,Pod³okietnik z ty³u,Pod³okietnik z przodu,Skórzana kierownica,Kierownica wielofunkcyjna,ISOFIX na tylnych siedzeniach,Klimatyzacja automatyczna,Tempomat",33
"13","Volvo XC40 Momentum 145 kW","48307583","Volvo","XC40",182649,"4x4","Automat","1969","Hybryda","6.5","147","Euro 6","18558","11/2020","1","Niemcy","Dealer","145",20,"ABS,ESP,Funkcja Auto Hold,System start-stop,Wspomaganie kierownicy,Immobiliser,Asystent pasa jazdy,Telefon alarmowy,Czujnik ciœnienia w oponach,Bluetooth,Radio,USB,Ekran dotykowy,Komputer pok³adowy,Radio samochodowe,Felgi aluminiowe,Automatyczne œwiat³a drogowe,Czujnik zmierzchu,Œwiat³a do jazdy dziennej,Zamek centralny,Czujnik wycieraczek,Pod³okietnik z przodu,Skórzana kierownica,Kierownica wielofunkcyjna,ISOFIX na tylnych siedzeniach",25
"14","Kia Sportage 1.6 2WD MH 100 kW","48278861","Kia","Sportage",128499,"4x2","Manual","1600","Diesel","4.5","118","Brak klasy emisji","12000","5/2021","U¿ywany","Hiszpania","Dealer","100",12,"ABS,ESP",2
"15","BMW 330 d Sport Line 195 kW","48307631","BMW","330",172249,"4x2","Automat","2993","Diesel","5","133","Euro 6d-TEMP","40000","11/2019","1","Niemcy","Dealer","195",30,"ABS,ESP,Alarm,Funkcja Auto Hold,Asystent hamowania (EBA, BAS),System start-stop,Wspomaganie kierownicy,Immobiliser,Asystent pasa jazdy,Telefon alarmowy,Czujnik ciœnienia w oponach,Czujniki parkowania przód/ty³,Bluetooth,Radio,USB,Ekran dotykowy,Komputer pok³adowy,Radio samochodowe,Oœwietlenie ambientowe,Pod³okietnik z ty³u,Pod³okietnik z przodu,Skórzana kierownica,Kierownica wielofunkcyjna,ISOFIX na tylnych siedzeniach,Sportowe przednie siedzenia,Tempomat,Felgi aluminiowe,Czujnik zmierzchu,Œwiat³a do jazdy dziennej,Podgrzewane lusterka,Zamek centralny,Czujnik wycieraczek",33
"16","Kia pro_cee'd / ProCeed 100 kW","48300914","Kia","pro_cee'd / ProCeed",119849,"4x2","Manual","1598","Diesel","3.9","131","Euro 6","24005","3/2021","U¿ywany","Francja","Dealer","100",26,"ABS,ESP,Asystent hamowania (EBA, BAS),Wspomaganie kierownicy,Czujnik ciœnienia w oponach,Radio,USB,Ekran dotykowy,Komputer pok³adowy,Felgi aluminiowe,Pod³okietnik z ty³u,Skórzana kierownica,Sk³adane siedzenia tylne,Regulowana kierownica,Tempomat",16
"17","MINI Cooper D Countryman All4 110 kW","48288283","MINI","Cooper D Countryman",123099,"4x4","Automat","1995","Diesel","4.9","144","Euro 6d-TEMP","24373","1/2019","1","Niemcy","Dealer","110",14,"ABS,ESP,Wspomaganie kierownicy,Immobiliser,Telefon alarmowy,Kamera parkowania,Czujniki parkowania przód/ty³,Radio,Komputer pok³adowy,Odtwarzacz CD,Felgi aluminiowe,Reflektory adaptacyjne,Œwiat³a do jazdy dziennej,Tylna wycieraczka,Zamek centralny,Kierownica wielofunkcyjna,ISOFIX na tylnych siedzeniach,Klimatyzacja automatyczna,Tempomat",19
"18","MINI Cooper S Countryman SE 1.5 All4 165 kW","48263640","MINI","Cooper S Countryman",147949,"4x4","Automat","1499","Hybryda","2","55","Euro 6d-TEMP","13303","1/2019","1","Niemcy","Dealer","165",16,"ABS,ESP,Funkcja Auto Hold,Asystent hamowania (EBA, BAS),System start-stop,Wspomaganie kierownicy,Immobiliser,Telefon alarmowy,Czujnik ciœnienia w oponach,Czujniki parkowania przód/ty³,Bluetooth,USB,Ekran dotykowy,Komputer pok³adowy,Radio samochodowe,Felgi aluminiowe,Reflektory adaptacyjne,Czujnik zmierzchu,Œwiat³a do jazdy dziennej,Zamek centralny,Czujnik wycieraczek,Oœwietlenie ambientowe,Pod³okietnik z przodu,Skórzana kierownica,Kierownica wielofunkcyjna,ISOFIX na tylnych siedzeniach,Sportowe przednie siedzenia,Tempomat",29
"19","Alfa Romeo Giulia 2.2 Super 140 kW","48296988","Alfa Romeo","Giulia",148149,"4x4","Automat","2143","Diesel","4.9","129","Euro 6d-TEMP","57500","1/2019","1","Niemcy","Dealer","140",27,"ABS,ESP,Funkcja Auto Hold,Asystent hamowania (EBA, BAS),System start-stop,Czujnik martwego pola,Wspomaganie kierownicy,Immobiliser,Asystent pasa jazdy,Czujnik ciœnienia w oponach,Kamera parkowania,Czujniki parkowania przód/ty³,Bluetooth,Radio,USB,Komputer pok³adowy,Odtwarzacz CD,Radio samochodowe,Felgi aluminiowe,Automatyczne œwiat³a drogowe,Czujnik zmierzchu,Œwiat³a do jazdy dziennej,Zamek centralny,Czujnik wycieraczek,System doœwietlania zakrêtów,Pod³okietnik z przodu,Skórzana kierownica,Kierownica wielofunkcyjna,ISOFIX na tylnych siedzeniach",30
"20","Opel Insignia CT 2.0 BiTrb D 4x4 Exclusive 154 kW","48277769","Opel","Insignia CT",116749,"4x4","Automat","1956","Diesel","7.2","191","Euro 6","120000","1/2018","1","Niemcy","Dealer","154",20,"ABS,ESP,Funkcja Auto Hold,Asystent hamowania (EBA, BAS),System start-stop,Wspomaganie kierownicy,Immobiliser,Asystent pasa jazdy,Telefon alarmowy,Czujnik ciœnienia w oponach,Kamera parkowania 360°,Czujniki parkowania przód/ty³,Bluetooth,Radio,USB,Nawigacja,Ekran dotykowy,Komputer pok³adowy,Radio samochodowe,Oœwietlenie ambientowe,Podgrzewana kierownica,Pod³okietnik z przodu,Skórzana kierownica,Kierownica wielofunkcyjna,ISOFIX na tylnych siedzeniach,Sportowe przednie siedzenia,Felgi aluminiowe,Automatyczne œwiat³a drogowe,Reflektory adaptacyjne,Czujnik zmierzchu,Œwiat³a do jazdy dziennej,Podgrzewana przednia szyba,Zamek centralny,Czujnik wycieraczek,£opatki przy kierownicy,Tempomat",37
"21","Renault Megane TCe 300 GPF EDC R.S. TROPHY 221 kW","48315125","Renault","Megane",163349,"4x2","Automat","1798","Benzyna","7.7","176","Euro 6","30000","1/2020","1","Niemcy","Dealer","221",10,"ABS,ESP,Funkcja Auto Hold,Asystent hamowania (EBA, BAS),Wspomaganie kierownicy,Immobiliser,Czujnik ciœnienia w oponach,Bluetooth,USB,Ekran dotykowy,Radio samochodowe,Oœwietlenie ambientowe,Pod³okietnik z przodu,Skórzana kierownica,ISOFIX na tylnych siedzeniach,Sportowe przednie siedzenia,Felgi aluminiowe,Czujnik zmierzchu,Œwiat³a do jazdy dziennej,Tylna wycieraczka,Podgrzewane lusterka,Zamek centralny,Czujnik wycieraczek",24
"22","Kia Sportage 1.6 2WD MH 100 kW","48313551","Kia","Sportage",131749,"4x2","Manual","1598","Diesel","4.5","146","Euro 6","13000","5/2021","U¿ywany","Francja","Dealer","100",14,"ABS,ESP,System start-stop,Czujnik ciœnienia w oponach,Czujniki parkowania,Wyjœcie AUX,USB,Ekran dotykowy,Komputer pok³adowy,Odtwarzacz CD,Felgi aluminiowe,Œwiat³a do jazdy dziennej,Tylna wycieraczka,Zamek centralny,Przyciemniane szyby,Pod³okietnik z ty³u,Pod³okietnik z przodu,Skórzana kierownica,Kierownica wielofunkcyjna,Sk³adane siedzenia tylne,Klimatyzowana skrytka,Dzielone siedzenia tylne ,Regulowana kierownica,Tempomat",24
"23","Ford Kuga 1.5 EcoBoost 4x4 Titanium 134 kW","48289563","Ford","Kuga",111349,"4x4","Automat","1498","Benzyna","7.5","173","Euro 6","36733","12/2017","1","Niemcy","Dealer","134",8,"ABS,ESP,Funkcja Auto Hold,Asystent hamowania (EBA, BAS),System start-stop,Wspomaganie kierownicy,Immobiliser,Asystent pasa jazdy,Telefon alarmowy,Czujnik ciœnienia w oponach,Czujniki parkowania przód/ty³,Wyjœcie AUX,USB,Ekran dotykowy,Komputer pok³adowy,Odtwarzacz CD,Radio samochodowe,Oœwietlenie ambientowe,Pod³okietnik z ty³u,Pod³okietnik z przodu,Kierownica wielofunkcyjna,ISOFIX na tylnych siedzeniach,Regulowana kierownica,Tempomat,Felgi aluminiowe,Automatyczne œwiat³a drogowe,Czujnik zmierzchu,Œwiat³a do jazdy dziennej,Podgrzewane lusterka,Podgrzewana przednia szyba,Zamek centralny,Zamek centralny na pilota,Czujnik wycieraczek,Przyciemniane szyby,Sprzêg przyczepy",36
"24","Skoda Kamiq 1.0 TSI Style 81 kW","48286578","Skoda","Kamiq",109099,"4x2","Manual","999","Benzyna","4.7","108","Euro 6","15000","6/2021","1","Niemcy","Dealer","81",13,"ABS,ESP,Asystent hamowania (EBA, BAS),System start-stop,Wspomaganie kierownicy,Immobiliser,Asystent pasa jazdy,Telefon alarmowy,Czujnik ciœnienia w oponach,Kamera parkowania,Czujniki parkowania przód/ty³,Radio,Komputer pok³adowy,Radio samochodowe,Felgi aluminiowe,Œwiat³a do jazdy dziennej,Zamek centralny,Pod³okietnik z przodu,Kierownica wielofunkcyjna,ISOFIX na tylnych siedzeniach,Tempomat",22
"25","MINI Cooper SD Countryman All4 140 kW","48313099","MINI","Cooper SD Countryman",133949,"4x4","Automat","1995","Diesel","4.8","127","Euro 4","64146","1/2019","U¿ywany","Niemcy","Dealer","140",14,"ABS,ESP,Alarm,Funkcja Auto Hold,Asystent hamowania (EBA, BAS),System start-stop,Wspomaganie kierownicy,Immobiliser,Telefon alarmowy,Czujnik ciœnienia w oponach,Kamera parkowania 360°,Czujniki parkowania przód/ty³,Bluetooth,USB,Nawigacja,Ekran dotykowy,Komputer pok³adowy,Odtwarzacz CD,Felgi aluminiowe,Czujnik zmierzchu,Œwiat³a do jazdy dziennej,Zamek centralny,Czujnik wycieraczek,£opatki przy kierownicy,Pod³okietnik z przodu,Skórzana kierownica,Kierownica wielofunkcyjna,ISOFIX na tylnych siedzeniach,Sk³adane siedzenia tylne,Sportowe przednie siedzenia,Regulowana kierownica,Klimatyzacja automatyczna",33
"26","Ford Kuga 1.5 EcoBoost 4x4 ST-Line 134 kW","48298646","Ford","Kuga",103199,"4x4","Automat","1498","Benzyna","7.5","173","Euro 6","65260","12/2017","U¿ywany","Niemcy","Dealer","134",25,"ABS,ESP,Funkcja Auto Hold,Asystent hamowania (EBA, BAS),System start-stop,Wspomaganie kierownicy,Telefon alarmowy,Czujnik ciœnienia w oponach,Kamera parkowania,Czujniki parkowania przód/ty³,Bluetooth,USB,Ekran dotykowy,Komputer pok³adowy,Odtwarzacz CD,Radio samochodowe,Pod³okietnik z przodu,Skórzana kierownica,Kierownica wielofunkcyjna,ISOFIX na tylnych siedzeniach,Sportowe przednie siedzenia,£opatki przy kierownicy,Tempomat,Felgi aluminiowe,Czujnik zmierzchu,Œwiat³a do jazdy dziennej,Podgrzewana przednia szyba,Zamek centralny,Czujnik wycieraczek,Reflektory ksenonowe",31
"27","BMW 320 Gran Turismo i xDrive 135 kW","48288328","BMW","320 Gran Turismo",180149,"4x4","Automat","1998","Benzyna","6.5","149","Euro 6d-TEMP","26500","3/2020","1","Niemcy","Dealer","135",21,"ABS,ESP,Alarm,Funkcja Auto Hold,Asystent hamowania (EBA, BAS),System start-stop,Czujnik martwego pola,Wspomaganie kierownicy,Immobiliser,Telefon alarmowy,Czujnik ciœnienia w oponach,Czujniki parkowania przód/ty³,Bluetooth,Wyjœcie AUX,USB,Nawigacja,Ekran dotykowy,Komputer pok³adowy,Radio samochodowe,Felgi aluminiowe,Automatyczne œwiat³a drogowe,Czujnik zmierzchu,Œwiat³a do jazdy dziennej,Podgrzewane lusterka,Atermiczna szyba przednia,Zamek centralny,Zamek centralny na pilota,Czujnik wycieraczek,Sprzêg przyczepy,Oœwietlenie ambientowe,Pod³okietnik z ty³u,Pod³okietnik z przodu,Skórzana kierownica,Kierownica wielofunkcyjna,ISOFIX na tylnych siedzeniach,Regulowana kierownica",37
"28","Ford Kuga 1.5 EcoBoost 4x4 134 kW","48293469","Ford","Kuga",106899,"4x4","Automat","1498","Benzyna","7.5","173","Euro 6","67700","12/2017","1","Niemcy","Dealer","134",15,"ABS,ESP,System start-stop,Wspomaganie kierownicy,Immobiliser,USB,Ekran dotykowy,Komputer pok³adowy,Odtwarzacz CD,Radio samochodowe,Pod³okietnik z przodu,Skórzana kierownica,Kierownica wielofunkcyjna,ISOFIX na tylnych siedzeniach,Felgi aluminiowe,Œwiat³a do jazdy dziennej,Podgrzewana przednia szyba,Zamek centralny,Tempomat",19
"29","Ford Kuga 1.5 EcoBoost 4x4 ST-Line 134 kW","48314257","Ford","Kuga",116749,"4x4","Automat","1498","Benzyna","7.5","178","Euro 6","25856","10/2017","1","Niemcy","Dealer","134",15,"ABS,ESP,Funkcja Auto Hold,Asystent hamowania (EBA, BAS),System start-stop,Czujnik martwego pola,Wspomaganie kierownicy,Immobiliser,Asystent pasa jazdy,Telefon alarmowy,Czujnik ciœnienia w oponach,Kamera parkowania,Czujniki parkowania przód/ty³,Bluetooth,USB,Ekran dotykowy,Komputer pok³adowy,Odtwarzacz CD,Radio samochodowe,Felgi aluminiowe,Automatyczne œwiat³a drogowe,Czujnik zmierzchu,Œwiat³a do jazdy dziennej,Podgrzewana przednia szyba,Zamek centralny,Czujnik wycieraczek,Reflektory biksenonowe,Pod³okietnik z przodu,Skórzana kierownica,Kierownica wielofunkcyjna,ISOFIX na tylnych siedzeniach,Sportowe przednie siedzenia,£opatki przy kierownicy,Tempomat",35
"30","Kia Sportage 1.6 2WD MH 100 kW","48288099","Kia","Sportage",124649,"4x2","Manual","1598","Diesel","4.5","146","Euro 6","13250","3/2021","U¿ywany","Francja","Dealer","100",21,"ABS,ESP,System start-stop,Czujnik ciœnienia w oponach,Czujniki parkowania,Wyjœcie AUX,USB,Ekran dotykowy,Komputer pok³adowy,Odtwarzacz CD,Felgi aluminiowe,Œwiat³a do jazdy dziennej,Tylna wycieraczka,Zamek centralny,Przyciemniane szyby,Pod³okietnik z ty³u,Pod³okietnik z przodu,Skórzana kierownica,Kierownica wielofunkcyjna,Sk³adane siedzenia tylne,Klimatyzowana skrytka,Dzielone siedzenia tylne ,Regulowana kierownica,Tempomat",24
"31","Volkswagen Tiguan 1.5 TSI EVO 110 kW","48297155","Volkswagen","Tiguan",160199,"4x2","Automat","1498","Benzyna","5.7","135","Euro 6d","32248","1/2021","1","Niemcy","Dealer","110",15,"ABS,ESP,Asystent stabilnoœci (TSA),System ochrony pieszych,Funkcja Auto Hold,Asystent hamowania (EBA, BAS),System start-stop,Czujnik martwego pola,Wspomaganie kierownicy,Immobiliser,Asystent pasa jazdy,Telefon alarmowy,Czujnik ciœnienia w oponach,Kamera parkowania,Czujniki parkowania przód/ty³,Bluetooth,Radio,USB,Ekran dotykowy,Komputer pok³adowy,Radio samochodowe,Oœwietlenie ambientowe,Pod³okietnik z przodu,Skórzana kierownica,Kierownica wielofunkcyjna,ISOFIX na tylnych siedzeniach,£opatki przy kierownicy,Felgi aluminiowe,Automatyczne œwiat³a drogowe,Reflektory adaptacyjne,Czujnik zmierzchu,Œwiat³a do jazdy dziennej,Podgrzewana przednia szyba,Zamek centralny,Zamek centralny na pilota,Czujnik wycieraczek",37
"32","Seat Leon ST 2.0 TSI 4Drive DSG Cupra 300 221 kW","48281066","Seat","Leon",129399,"4x4","Automat","1984","Benzyna","7.2","164","Euro 6","38844","8/2017","2","Niemcy","Dealer","221",15,"ABS,ESP,EDS,Funkcja Auto Hold,Asystent hamowania (EBA, BAS),System start-stop,Wspomaganie kierownicy,Immobiliser,Asystent pasa jazdy,Czujnik ciœnienia w oponach,Kamera parkowania,Czujniki parkowania przód/ty³,Bluetooth,Radio,USB,Komputer pok³adowy,Radio samochodowe,Felgi aluminiowe,Automatyczne œwiat³a drogowe,Czujnik zmierzchu,Œwiat³a do jazdy dziennej,Zamek centralny,Czujnik wycieraczek,Oœwietlenie ambientowe,Pod³okietnik z ty³u,Pod³okietnik z przodu,Kierownica wielofunkcyjna,ISOFIX na tylnych siedzeniach,Sportowe przednie siedzenia",30
"33","BMW 220 140 kW","48298673","BMW","220",128999,"4x2","Automat","1995","Diesel","4.6","121","Euro 6d-TEMP","25000","6/2019","U¿ywany","Niemcy","Dealer","140",13,"ABS,ESP,Funkcja Auto Hold,Asystent hamowania (EBA, BAS),System start-stop,Immobiliser,Telefon alarmowy,Czujnik ciœnienia w oponach,Czujniki parkowania przód/ty³,Bluetooth,USB,Ekran dotykowy,Komputer pok³adowy,Radio samochodowe,Oœwietlenie ambientowe,Pod³okietnik z przodu,Skórzana kierownica,Kierownica wielofunkcyjna,ISOFIX na tylnych siedzeniach,Dzielone siedzenia tylne ,Felgi aluminiowe,Czujnik zmierzchu,Œwiat³a do jazdy dziennej,Podgrzewana przednia szyba,Zamek centralny,Zamek centralny na pilota,Czujnik wycieraczek,Przyciemniane szyby,Tempomat",30
"34","Mazda CX-5 194 Automatic AWD 143 kW","48293060","Mazda","CX-5",133899,"4x4","Automat","2488","Benzyna","7.4","169","Euro 6","29999","10/2018","1","Niemcy","Dealer","143",12,"ABS,ESP,Funkcja Auto Hold,Asystent hamowania (EBA, BAS),System start-stop,Czujnik martwego pola,Wspomaganie kierownicy,Immobiliser,Asystent pasa jazdy,Czujnik ciœnienia w oponach,Kamera parkowania 360°,Czujniki parkowania przód/ty³,Bluetooth,Radio,USB,Ekran dotykowy,Komputer pok³adowy,Odtwarzacz CD,Radio samochodowe,Felgi aluminiowe,Automatyczne œwiat³a drogowe,Czujnik zmierzchu,Œwiat³a do jazdy dziennej,Tylna wycieraczka,Zamek centralny,Czujnik wycieraczek,Pod³okietnik z ty³u,Skórzana kierownica,Kierownica wielofunkcyjna,ISOFIX na tylnych siedzeniach,Tempomat",32
"35","BMW 530 Gran Turismo d 180 kW","48282660","BMW","530 Gran Turismo",107549,"4x2","Automat","2993","Diesel","6.5","173","Euro 5","89800","2/2012","2","Niemcy","Komis","180",26,"ABS,ESP,System start-stop,Wspomaganie kierownicy,Immobiliser,Czujnik ciœnienia w oponach,Tempomat,Felgi aluminiowe,Œwiat³a do jazdy dziennej,Zamek centralny,Pod³okietnik z przodu,Skórzana kierownica,Kierownica wielofunkcyjna,ISOFIX na tylnych siedzeniach,Komputer pok³adowy,Odtwarzacz CD,Radio samochodowe",17
"36","Citroen C5 Aircross 130 S&S 96 kW","48264199","Citroen","C5 Aircross",124099,"4x2","Manual","1499","Diesel","4","130","Euro 6","9950","1/2021","U¿ywany","Francja","Dealer","96",22,"Przyciemniane szyby,Regulowana kierownica",2
